Work Order Id,Std Job No,WO Completed Status,WO Create Date,Ads Building Number,Ads Eastings,Ads Northings,Ads Operation Area,Ads Osapr,Street postcode,Ads Post Town,Ads Region,Ads Water Operational Area,Ads Water Supply Zone
6026866,WRNW17,All Complete with Comments                        ,23/06/2017,55,"321,728.00","862,338.00",North West,AP81LL855265XX90YH,IV301QN,ELGIN,East,Glenlatterach & Badentinan WOA,Morriston WSZ
6026934,WRNW17,Complete (Partial)                                ,23/06/2017,,"243,175.00","555,228.00",South East,APEXAT8D5V25TEE0N2,DG89HH,NEWTON STEWART,South,Penwhirn WOA,Wigtown WSZ
6029091,WRNW17,All Complete with Comments                        ,25/06/2017,,"324,964.00","672,651.00",South East,AP95EC8W5QG43YTG6R,EH39LL,EDINBURGH,South,Glencorse WOA,Morningside/Grange WSZ
6033312,WRNW17,Complete (Partial)                                ,28/06/2017,41,"256,292.00","668,451.00",South West,APDJ7J8P55N41WQ0KU,G120QY,GLASGOW,West,Milngavie WOA,M1 Mugdock WSZ
6033556,WRNW17,All Complete with Comments                        ,28/06/2017,,"353,249.00","634,414.00",South East,APCQAN816FK5G9F07B,TD69AQ,MELROSE,South,Howden WOA,Eildon WSZ
6033728,WRNW17,Complete (Partial)                                ,28/06/2017,63,"325,461.00","673,356.00",South East,APD6268W5RY43AN0JR,EH12HJ,EDINBURGH,South,Glencorse WOA,Edinburgh Centre West WSZ
6035074,WRNW17,All Complete with Comments                        ,30/06/2017,,"298,590.00","858,032.00",North West,APCHJ18F5MM2VT009M,IV362TE,FORRES,East,Glenlatterach & Badentinan WOA,
6035341,WRNW17,All Complete with Comments                        ,30/06/2017,,"297,658.00","857,155.00",North West,APTW9H8458D5UEF03E,IV362TD,FORRES,East,Glenlatterach & Badentinan WOA,Clunyhill County WSZ
6037934,WRNW17,All Complete with Comments                        ,03/07/2017,,"266,223.00","673,041.00",South West,APR3KU9P592435W00V,G663UN,GLASGOW,South,Balmore & Carron Valley WOA,Gartshore WSZ
6037947,WRNW17,Complete (Partial)                                ,03/07/2017,,"243,175.00","555,228.00",South East,APEXAT8D5V25TEE0N2,DG89HH,NEWTON STEWART,South,Penwhirn WOA,Wigtown WSZ
6038066,WRNW17,All Complete with Comments                        ,03/07/2017,,"354,205.00","634,997.00",South East,APET528J51K5HJAG8U,TD69NB,MELROSE,South,Howden WOA,Gattonside WSZ
6038099,WRNW17,Complete (Partial)                                ,03/07/2017,1,"320,543.00","672,936.00",South East,APULKJ8H50B133BGA1,EH126JR,EDINBURGH,South,Glencorse WOA,East Craigs/N. Corstorphine WSZ
6038441,WRNW17,Complete (Partial)                                ,03/07/2017,200,"319,396.00","672,979.00",South East,AP99F08R5DL434TGAH,EH128SQ,EDINBURGH,South,Glencorse WOA,East Craigs/N. Corstorphine WSZ
6038503,WRNW17,All Complete with Comments                        ,03/07/2017,23,"354,858.00","702,669.00",North East,APLN0M8753C41RUGNK,KY102QN,ANSTRUTHER,East,Glenfarg & Glendevon WOA,Carnbee WSZ
6038689,WRNW17,All Complete with Comments                        ,03/07/2017,86,"348,731.00","636,907.00",South East,APNM4X8J6PD5JGAGMT,TD12JG,GALASHIELS,South,Manse Street Galashiels WOA,Manse Street WSZ
6039161,WRNW17,All Complete with Comments                        ,04/07/2017,41,"259,492.00","660,912.00",South West,APCRBH8V5VE4W7QGQ3,G444JN,GLASGOW,West,Balmore West Region WOA,Castlemilk Low WSZ
6040160,WRNW17,All Complete                                      ,05/07/2017,7,"280,964.00","680,799.00",South West,AP9FFY805NC47XTGF4,FK65JZ,DENNY,West,Carron Valley WOA,Carron Valley to Millhall WSZ
6040226,WRNW17,All Complete with Comments                        ,05/07/2017,29,"258,584.00","666,103.00",South West,APFU44885T540QQGLK,G36PL,GLASGOW,West,Milngavie WOA,C3 Craigmaddie WSZ
6040299,WRNW17,All Complete                                      ,05/07/2017,35,"216,952.00","677,323.00",South West,APH31V8859B558A0VH,PA237PN,DUNOON,West,Loch Eck WOA,Bishops Glen WSZ
6040464,WRNW17,Complete (Partial)                                ,05/07/2017,279,"332,356.00","673,184.00",South East,APBG188H5PE437N0U9,EH152LD,EDINBURGH,South,Glencorse WOA,Magdalene/Portobello East WSZ
6040666,WRNW17,All Complete with Comments                        ,05/07/2017,23,"332,400.00","695,966.00",North East,APUHDR825P04EBWGDR,KY14LR,KIRKCALDY,East,GLENFARG WOA,Cadham WSZ
6041015,WRNW17,All Complete with Comments                        ,05/07/2017,4,"347,318.00","628,577.00",South East,APAG4Y8J5L55DEA0KT,TD74LT,SELKIRK,South,Howden WOA,Thornbush Quarry WSZ
6041027,WRNW17,All Complete with Comments                        ,05/07/2017,63,"325,461.00","673,356.00",South East,APD6268W5RY43AN0JR,EH12HJ,EDINBURGH,South,Glencorse WOA,Edinburgh Centre West WSZ
6042049,WRNW17,All Complete with Comments                        ,06/07/2017,27,"337,810.00","715,052.00",North East,AP467X8851K47UX0WA,KY154HD,CUPAR,East,LHills & GFarg & Glendevon WOA,Garliebank WSZ
6043175,WRNW17,All Complete with Comments                        ,07/07/2017,26,"298,197.00","575,972.00",South East,APD27K8C5PH55KAGUD,DG12EQ,DUMFRIES,South,Killylour & Terregles WOA,Clunie WSZ
6043508,WRNW17,All Complete with Comments                        ,07/07/2017,,"243,175.00","555,228.00",South East,APEXAT8D5V25TEE0N2,DG89HH,NEWTON STEWART,South,Penwhirn WOA,Wigtown WSZ
6043519,WRNW17,All Complete with Comments                        ,07/07/2017,,"299,417.00","576,317.00",South East,APKF7R8D5AD55QA056,DG13JP,DUMFRIES,South,LF & Terregles & Killylour WOA,Larchfield CWT WSZ
6051356,WRNW17,All Complete with Comments                        ,10/07/2017,,"263,335.00","707,892.00",South West,AP066G8C5KW53AYG3U,FK178EH,CALLANDER,West,Turret West Region WOA,Callander WSZ
6051368,WRNW17,All Complete with Comments                        ,10/07/2017,91,"310,956.00","869,099.00",North West,APYLLM8M5W4517905G,IV305TZ,ELGIN,East,Glenlatterach & Badentinan WOA,Clarklyhill WSZ
6051377,WRNW17,All Complete                                      ,10/07/2017,54,"256,744.00","658,397.00",South West,APJDH98Q56J4V0YGPK,G466ND,GLASGOW,West,Picketlaw WOA,Greenbank WSZ
6051700,WRNW17,Complete (Partial)                                ,10/07/2017,53,"326,539.00","672,233.00",South East,APPM1G815UJ43QN0E1,EH165AA,EDINBURGH,South,Glencorse WOA,Old Town/Canongate WSZ
6052659,WRNW17,All Complete with Comments                        ,11/07/2017,10,"326,901.00","687,257.00",North East,APFB4J815VR4A3U0H1,KY39XG,BURNTISLAND,East,GLENFARG WOA,Kinghorn WSZ
6052948,WRNW17,All Complete with Comments                        ,11/07/2017,,"277,405.00","721,836.00",North East,APV61M8E5YD5A5A0KL,PH62ED,CRIEFF,East,Turret East Region WOA,Comrie WSZ
6053193,WRNW17,Complete (Partial)                                ,11/07/2017,6,"326,640.00","671,897.00",South East,AP3D1M8H5V943KN0K1,EH91TD,EDINBURGH,South,Glencorse WOA,Old Town/Canongate WSZ
6053263,WRNW17,All Complete with Comments                        ,11/07/2017,,"333,844.00","865,482.00",North West,AP44578K5AB5YFF0PT,IV327NR,FOCHABERS,East,Spey Badentinan WOA,Threaplands WSZ
6053310,WRNW17,All Complete with Comments                        ,11/07/2017,242,"254,245.00","665,550.00",South West,APH86RDP41N50GWGCU,G514AQ,GLASGOW,West,Milngavie & Balmore WOA,M3 Mugdock WSZ
6053377,WRNW17,Complete (Partial)                                ,11/07/2017,21,"330,999.00","665,228.00",South East,APE6ED8R5LR4YBU0KH,EH193AE,BONNYRIGG,South,Rosebery (Ed & Lothian) WOA,Rosebery WRM WSZ
